Id,As a,I want to,So that I can,Author(so we can discuss later),Comments
1,Student,Register in the app,Continue to creating my profile,Alexey,
2,Student,"Fill in details about myself (Name, Gender, Age, College/University, Country of origin etc.)",Complete creating my profile,Alexey,
3,Student,Take / Upload picture of myself,Use it on my profile Avatar,Alexey,Picture with clear face must be required
4,Student,Add another user to friendlist,Retrieve their profile,Alexey,
5,Student,Write a message to another user,Chat with other freshmans,Alexey,
6,Student,Search for other users based on College/University,Add more relevant friends,Alexey,
7,College,Register College account,Have an official unique college profile,Alexey,
8,Student,"Create an event with Name, Description, Date and Time",Plan an event for future,Alexey,
9,Student,Invite people from friendlist to an event ,Plan going on event with friends,Alexey,
10,Student,Create a post on my page,Share content with my friendlist,Alexey,
11,Business,Create Business Profile,Register to the app for further advertising,Alexey,
12,Business,Create and setup campaigns,Setup campaigns and target audience for advertising,Alexey,"Not sure if we should go that far in terms of advertising, or better omit this to have better core functionality"
13,Student,Edit my profile,Maintain the accuracy of my personal,Temirlan,
14,Student,Reset my password,"If I forget my password, I may still log in to my account.",Temirlan,
15,Student,Login into account,Have access to my account,Temirlan,
16,Student,Subscribe to newsletter,Stay up to date with all events,Temirlan,
17,Student,Like a photo of another user,Show how I like the photo,Temirlan,
18,Student,Create a group chat,Chat with multiple people in one chat,Temirlan,
19,Student,Receive notifications from the application,Be aware of all events,Temirlan,
20,Student,Attach files to messages,"Share doucments, photos with others",Temirlan,
21,Student,Save messages,Mark my favourite or important messages,Temirlan,
22,Student,Search for messages,Quickly find the right message,Temirlan,
23,Student,Block/Delete another user,Not interact with them if I choose not to,Nicolas,
24,Business,Application feedback notifications for user,Find out what needs to be worked on ,Nicoas,
25,Student,Hide personal information from public,Only have it showing for friends,Nicolas,
26,Student,Application customization ,Change iOS/Android default white to black,Nicolas,Are we building a mobile app? Thought we agreed on web :)
27,Student,Fast sign up with facebook login,Faster/easier sign up,Nicolas,
28,Business,In app subscription,give users exclusive features,Nicolas,Don't know if we want straight revenue from this or ads. But like a small membership $5 a month example
29,Business,Referal program,Have more users for more revenue ,Nicolas,
30,Student,Report another user,To have them reviewed for negative behaviour,Nicolas,
31,Student,Refund/Accidental subscription charge,Have a refund for something I didn't want,Nicolas,
32,Student,Mute group chat notifications/Only recieve when @ directly,Have notification balance,Nicolas,
33,Student,Fast sign up with google account,Faster/easier sign up,Yaroslav,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,